"rating","comment","id","rideId","reviewerId","revieweeId","createdAt","updatedAt"
"2","The ride was delayed and communication was difficult.","78c422db-63bb-462d-b8ce-d9bdf3f4f921","2160327c-0a56-458c-8e3a-b0a653bb488a","a78892d9-93b0-4a78-9a2f-2fad3db5becb","29ba1c6f-943a-462e-a307-a6c327c39a57","2026-08-08T03:15:00.000Z","2026-08-08T03:15:00.000Z"
"4","Friendly driver and a mostly smooth ride.","ebe6b5bb-fc2f-4c8d-b5e7-9119031f00e0","12b7724e-5d38-4e12-a9c5-92b757d48e24","fc8036f4-d3bf-49ee-baff-431b84d612ea","4bb40fa4-b428-432e-aca2-1a954ebd5186","2026-08-11T13:00:00.000Z","2026-08-11T13:00:00.000Z"
"2","The ride was delayed and communication was difficult.","7034ae0c-ba4f-4360-ac2b-66005b501420","6373477b-6351-4807-9c1f-290fbf1561ef","b4419d49-c195-4f67-8a68-1e38418429ef","a4e13249-216e-49cd-8abf-6f5bd9c3fe4c","2026-08-16T03:15:00.000Z","2026-08-16T03:15:00.000Z"
"4","Friendly driver and a mostly smooth ride.","d325c5ba-be0f-4251-9546-c2e1d58e36be","5cef133f-2e32-48e4-a7eb-2811979c2847","f996d0d8-1d3e-4780-bb40-a3c76aeca0fe","d3b6bef4-14dc-43ee-b1ea-5df640bff3ea","2026-08-18T03:15:00.000Z","2026-08-18T03:15:00.000Z"
"3","The ride was acceptable but could be more punctual.","73f1b5e0-b9db-4e6d-9e66-57f11aa5b3b7","7ecc5433-f388-49c8-89a7-e6af39dbbed2","a49cc7a3-0beb-4fbf-8d54-c676dfe72f4b","613365a0-56e0-41a2-a7c9-48b35ec746a1","2026-08-20T03:15:00.000Z","2026-08-20T03:15:00.000Z"
"2","The ride was delayed and communication was difficult.","7c81ebc8-fca2-4bb2-a203-34987fed5eb1","8c70b215-94c9-4465-96d0-72dafdb7fecb","df718002-b68d-406f-af02-b7ebdc19dfaa","6767d864-c164-421c-8b90-0f29abc5af41","2026-08-21T13:00:00.000Z","2026-08-21T13:00:00.000Z"
"4","Friendly driver and a mostly smooth ride.","1b7ab366-2b78-4403-bfa7-63ccee7ecdcb","7b014dba-0df2-4338-9833-b2ad08eea006","36ffa906-e6db-4e16-8e9b-e3f24ede715c","9449171f-669b-4ae3-8a11-85c2698005b4","2026-08-23T13:00:00.000Z","2026-08-23T13:00:00.000Z"
"2","The ride was delayed and communication was difficult.","f4d33625-34fb-45ba-905f-46edf4f01cc3","e740fbe6-08b2-48ab-9ea5-fdea46ba33a2","61b7de30-6ccf-41d6-881f-85e56e865717","8005e16b-eaf8-45be-b4d8-a5fcd5431201","2026-08-24T03:15:00.000Z","2026-08-24T03:15:00.000Z"
"1","The driver did not arrive at the pickup hub.","a46f010e-0fc0-449c-801c-bb42611d5e55","5f011875-d174-456e-8e7f-72ee59c5e164","acb16d87-c821-4f83-a7a0-8733496f99be","e0bd240d-0573-4a8a-830a-c46264dbd855","2026-08-25T13:00:00.000Z","2026-08-25T13:00:00.000Z"
"4","Friendly driver and a mostly smooth ride.","f9cdab4d-c195-4b19-9cbd-0c86611012a7","edc119e1-9174-402e-b23c-6da190e38c4c","7a49978a-5b30-4a61-89ea-d655c3a89110","ce3592dc-d951-4134-a2cd-52dbc233a3f4","2026-08-27T13:00:00.000Z","2026-08-27T13:00:00.000Z"
