"id","userId","pickupName","normalizedPickupName","destinationName","normalizedDestinationName","desiredDepartureTime","status"
"ded6c1a1-0e78-4e35-85d0-8d777e5b2b89","29ba1c6f-943a-462e-a307-a6c327c39a57","Swargate PMPML Main Bus Stand","swargate pmpml main bus stand","VIT College","vit college","2026-09-06T02:30:00.000Z","CANCELLED"
"d867ded8-3d0f-44d0-b75a-23a426c8c8de","4bb40fa4-b428-432e-aca2-1a954ebd5186","Katraj Dairy BRTS","katraj dairy brts","VIT College","vit college","2026-09-07T02:45:00.000Z","OPEN"
"12e1df3e-751b-42e7-be9e-b36a8a4dee27","dbffce9e-93ca-460b-a2e6-fec327ae8a6e","Laxmi Narayan Theatre","laxmi narayan theatre","VIT College","vit college","2026-09-08T03:00:00.000Z","OPEN"
"036949fb-8eef-44c0-a5a7-cd577c1682e5","1137a11d-2e66-45ed-b840-8d12e6722bfa","Balaji Nagar BRTS","balaji nagar brts","VIT College","vit college","2026-09-09T03:15:00.000Z","MATCHED"
"404ef5d0-b9db-4e9f-96bc-94311906a9d8","613365a0-56e0-41a2-a7c9-48b35ec746a1","City Pride BRTS","city pride brts","VIT College","vit college","2026-09-10T02:30:00.000Z","OPEN"
"5c518570-8e7b-43c5-97b5-b13cdcbf04fe","9449171f-669b-4ae3-8a11-85c2698005b4","Shankar Maharaj Math","shankar maharaj math","VIT College","vit college","2026-09-11T02:45:00.000Z","OPEN"
"475bcef8-0866-4480-8204-b0f2c42082c8","f256e949-f4e4-4ba3-8ea9-d6a3d0ba8526","Bibwewadi Bus Stop","bibwewadi bus stop","VIT College","vit college","2026-09-12T03:00:00.000Z","MATCHED"
"d701c047-10b2-4553-a773-9ae2355979d6","08eb06b4-7805-4b0c-998b-d919358e8b0f","Bibwewadi Bus Stop","bibwewadi bus stop","VIT College","vit college","2026-09-13T03:15:00.000Z","CANCELLED"
"af9760e8-6b1d-4e3a-869a-a0a3e0e2a806","8100f2b8-79e0-4059-be98-ced465000a2e","Kashinath Patil Nagar Stop","kashinath patil nagar stop","VIT College","vit college","2026-09-14T02:30:00.000Z","OPEN"
"99faaad7-4327-4946-a8da-0437f8876d00","e443e68b-7cb4-4260-8ec6-64c485de79d5","Kashinath Patil Nagar Stop","kashinath patil nagar stop","VIT College","vit college","2026-09-15T02:45:00.000Z","MATCHED"
"2860f28f-faf2-431b-8e9b-fea3598853cc","c2483f77-a251-4434-8d94-6a2c53e2d38e","Swargate PMPML Main Bus Stand","swargate pmpml main bus stand","VIT College","vit college","2026-09-16T03:00:00.000Z","OPEN"
"11e26b6c-8a27-460e-84a9-42c2486b5b37","2d02ada0-aefc-4d76-9f2f-c57bee3201ac","Katraj Terminal","katraj terminal","VIT College","vit college","2026-09-17T03:15:00.000Z","OPEN"
"7def8e85-54b0-4ce2-bfb4-d203f6ebad9c","b9d9e60d-de32-4732-8eb8-480e0e81bcbf","Laxmi Narayan Theatre","laxmi narayan theatre","VIT College","vit college","2026-09-18T02:30:00.000Z","MATCHED"
"cbf14a49-58d2-4705-9ba7-ac0f5013e7ae","6c3f7adf-4f2a-4914-ba78-8b1548f14a1a","Bharati Vidyapeeth","bharati vidyapeeth","VIT College","vit college","2026-09-19T02:45:00.000Z","OPEN"
"0654828a-8fc0-4dfe-938f-3cd8e852d050","ea3fd43b-e1e5-4d62-a163-dae19fc740bd","City Pride BRTS","city pride brts","VIT College","vit college","2026-09-20T03:00:00.000Z","CANCELLED"
"854b6b89-a1a7-4a3e-b90a-092ad410bed2","e977337e-9b7d-4b79-9851-7a31a276eaf5","KK Market BRTS","kk market brts","VIT College","vit college","2026-09-21T03:15:00.000Z","MATCHED"
"375ddc4b-59b7-4d4f-99f4-dc687f649e93","bfe5c77b-945d-47a5-81f7-7ae8e1ff5d5b","Bibwewadi Bus Stop","bibwewadi bus stop","VIT College","vit college","2026-09-22T02:30:00.000Z","OPEN"
"398c2a50-3913-4f19-b1ef-23f8d3867e04","04bfe73e-1142-4d3f-8bbf-57dbee041dd2","Market Yard Corner","market yard corner","VIT College","vit college","2026-09-23T02:45:00.000Z","OPEN"
"8b8406c5-8db0-49f7-8771-bc09255f5dd3","29bb8b65-a83a-4f6b-b7c4-0a86fd9b82a1","Kashinath Patil Nagar Stop","kashinath patil nagar stop","VIT College","vit college","2026-09-24T03:00:00.000Z","MATCHED"
"8d4807c8-48f5-48f1-95b7-010c0f6905fd","dae29690-62f3-4202-8961-05b05ec7dcc6","Lower Indira Nagar Stop","lower indira nagar stop","VIT College","vit college","2026-09-25T03:15:00.000Z","OPEN"
"6d6cc3af-1b7f-4021-ac54-d596c787f2bf","b94bb3da-92c3-4ecf-b576-f9dbbce590b5","Swargate PMPML Main Bus Stand","swargate pmpml main bus stand","VIT College","vit college","2026-09-26T02:30:00.000Z","OPEN"
"4dca709d-9410-4872-8d6e-fd85ba5181cc","0f35346d-5638-4de0-b685-b0f5e42ff331","Upper Indira Nagar Bus Depot","upper indira nagar bus depot","VIT College","vit college","2026-09-27T02:45:00.000Z","CANCELLED"
"6186346c-602e-4681-abd5-495756768791","95e5d040-6f8f-43de-b101-0a1abbfde269","Laxmi Narayan Theatre","laxmi narayan theatre","VIT College","vit college","2026-09-28T03:00:00.000Z","OPEN"
"e7cc5304-68d3-4f52-9a24-fe9a1561c07f","fbade199-d957-41f1-9c4b-bef677c6f400","Katraj Dairy BRTS","katraj dairy brts","VIT College","vit college","2026-09-29T03:15:00.000Z","OPEN"
"3d889122-43ff-42c1-9a9f-909b0f905f48","e9ac0d57-c267-41a2-84aa-846e6f118304","City Pride BRTS","city pride brts","VIT College","vit college","2026-09-30T02:30:00.000Z","MATCHED"
"9c348d40-7122-4428-81f2-de06609edd6f","3857e3b0-5efa-484e-a045-2777f41b2610","Balaji Nagar BRTS","balaji nagar brts","VIT College","vit college","2026-10-01T02:45:00.000Z","OPEN"
"b04f31df-fc5c-49e1-8ca9-63cacf9e1a46","aa3e3c66-ecde-4e1f-9ce3-1617c0ecdcef","Bibwewadi Bus Stop","bibwewadi bus stop","VIT College","vit college","2026-10-02T03:00:00.000Z","OPEN"
