"rating","comment","id","rideId","reviewerId","revieweeId","createdAt","updatedAt"
"1","The driver did not arrive at the pickup hub.","78c422db-63bb-462d-b8ce-d9bdf3f4f921","a3e970e9-75ee-4f20-9165-255a51a84ca8","f256e949-f4e4-4ba3-8ea9-d6a3d0ba8526","abc3a47b-8ad1-4b85-9c68-7d9ca2c6091e","2026-08-10T09:49:00.000Z","2026-08-10T09:49:00.000Z"
"3","The ride was acceptable but could be more punctual.","ebe6b5bb-fc2f-4c8d-b5e7-9119031f00e0","2c93da10-5ccc-4b4f-b9be-663dbc43be74","a85fce63-b4a4-4d71-9d87-2fb5e4653681","0195616c-ec89-4a4d-8990-b9d0d41435fa","2026-08-10T04:40:00.000Z","2026-08-10T04:40:00.000Z"
"5","Smooth ride and reached campus on time.","7034ae0c-ba4f-4360-ac2b-66005b501420","c94642e2-10f3-48f6-badb-f7cb639224cd","6c3f7adf-4f2a-4914-ba78-8b1548f14a1a","96f0bff7-4a51-45fe-924a-7fd40bd96af0","2026-08-12T04:48:00.000Z","2026-08-12T04:48:00.000Z"
"5","Smooth ride and reached campus on time.","d325c5ba-be0f-4251-9546-c2e1d58e36be","ac13c8ae-3f73-4440-bc4f-791d0d7630f4","2e0f5d10-9fa3-4578-9046-adc52e9f52d6","dbffce9e-93ca-460b-a2e6-fec327ae8a6e","2026-08-14T04:43:00.000Z","2026-08-14T04:43:00.000Z"
"2","The ride was delayed and communication was difficult.","73f1b5e0-b9db-4e6d-9e66-57f11aa5b3b7","8c70b215-94c9-4465-96d0-72dafdb7fecb","df718002-b68d-406f-af02-b7ebdc19dfaa","6767d864-c164-421c-8b90-0f29abc5af41","2026-08-21T09:08:00.000Z","2026-08-21T09:08:00.000Z"
"1","The driver did not arrive at the pickup hub.","7c81ebc8-fca2-4bb2-a203-34987fed5eb1","e740fbe6-08b2-48ab-9ea5-fdea46ba33a2","61b7de30-6ccf-41d6-881f-85e56e865717","8005e16b-eaf8-45be-b4d8-a5fcd5431201","2026-08-24T05:06:00.000Z","2026-08-24T05:06:00.000Z"
"3","The ride was acceptable but could be more punctual.","1b7ab366-2b78-4403-bfa7-63ccee7ecdcb","5f011875-d174-456e-8e7f-72ee59c5e164","acb16d87-c821-4f83-a7a0-8733496f99be","e0bd240d-0573-4a8a-830a-c46264dbd855","2026-08-25T07:41:00.000Z","2026-08-25T07:41:00.000Z"
"4","Friendly driver and a mostly smooth ride.","f4d33625-34fb-45ba-905f-46edf4f01cc3","409dc43c-6d61-425a-9ad3-6cf9f3497009","53329683-b608-43d8-93dd-40f75fc7d319","b8ece9b4-d515-405a-952d-1ccdc242c410","2026-08-28T07:14:00.000Z","2026-08-28T07:14:00.000Z"
"5","Smooth ride and reached campus on time.","a46f010e-0fc0-449c-801c-bb42611d5e55","a9f57098-6b56-47c2-a905-943792856563","c366b16a-709a-4bd5-99f4-4d48e2a64d10","7b50af0a-e87a-4600-b547-06ff9da50ada","2026-08-31T07:00:00.000Z","2026-08-31T07:00:00.000Z"
"3","The ride was acceptable but could be more punctual.","f9cdab4d-c195-4b19-9cbd-0c86611012a7","f519bf84-2469-4645-94a5-4b64c74736be","e16a421d-031b-47d3-936b-9d6bed68b285","e443e68b-7cb4-4260-8ec6-64c485de79d5","2026-09-04T07:46:00.000Z","2026-09-04T07:46:00.000Z"
