"id","driverId","corridorId","originHubId","destinationHubId","originName","originLat","originLng","destName","destLat","destLng","departureTime","totalSeats","availableSeats","vehicleType","helmetProvided","contribution","notes","status","classDate","scheduleId","collegeStartTime","collegeEndTime","ridePurpose","originSequence","destinationSequence"
"2160327c-0a56-458c-8e3a-b0a653bb488a","29ba1c6f-943a-462e-a307-a6c327c39a57","swargate-vit","11cd5543-db39-4321-9f12-008b367d2ce1","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Upper Indira Nagar Bus Depot","18.4682","73.8623","VIT College","18.4635","73.8682","2026-08-08T05:03:00.000Z","1","0","bike","true","18","Morning campus commute","COMPLETED","2026-08-08","75f36949-c6d9-4238-bd87-a037820708b8","11:03","14:24","travel_to_college","10","12"
"a3e970e9-75ee-4f20-9165-255a51a84ca8","abc3a47b-8ad1-4b85-9c68-7d9ca2c6091e","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","eb0d92a7-38aa-446a-9f38-091814ea3abd","VIT College","18.4635","73.8682","Chintamani Nagar","18.4651","73.864","2026-08-10T08:49:00.000Z","2","0","car","false","72","","COMPLETED","2026-08-10","fb1cbdea-4970-487b-970a-6c7efa94ac2f","10:33","14:04","return_from_college","13","12"
"2c93da10-5ccc-4b4f-b9be-663dbc43be74","0195616c-ec89-4a4d-8990-b9d0d41435fa","swargate-vit","11cd5543-db39-4321-9f12-008b367d2ce1","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Upper Indira Nagar Bus Depot","18.4682","73.8623","VIT College","18.4635","73.8682","2026-08-10T03:40:00.000Z","2","1","car","false","20","","COMPLETED","2026-08-10","580bea75-0432-4622-bd4c-a866a4067c67","09:40","13:37","travel_to_college","10","12"
"12b7724e-5d38-4e12-a9c5-92b757d48e24","4bb40fa4-b428-432e-aca2-1a954ebd5186","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","a80964b4-72f5-43de-ad1a-bdcb9fca796e","VIT College","18.4635","73.8682","Lower Indira Nagar Stop","18.4718","73.8618","2026-08-11T07:44:00.000Z","1","0","bike","true","25","","COMPLETED","2026-08-11","f57f8e9f-13f8-486f-9eae-e2358f46ebbf","09:15","12:59","return_from_college","13","9"
"c94642e2-10f3-48f6-badb-f7cb639224cd","96f0bff7-4a51-45fe-924a-7fd40bd96af0","swargate-vit","11cd5543-db39-4321-9f12-008b367d2ce1","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Upper Indira Nagar Bus Depot","18.4682","73.8623","VIT College","18.4635","73.8682","2026-08-12T03:48:00.000Z","1","0","bike","false","28","","SCHEDULED","2026-08-12","c4e60a8e-5d44-4f59-8833-fb04e7d5550e","09:48","12:59","travel_to_college","10","12"
"bb34fe76-14af-4ae5-9f5c-603285cfbd25","856c5003-10e0-491c-b001-245c65a8fb4b","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","86597dc2-00ef-475a-8a9a-daf0323897ca","VIT College","18.4635","73.8682","Katraj Terminal","18.4471","73.8562","2026-08-13T11:26:00.000Z","1","1","scooty","true","24","Please arrive five minutes early","COMPLETED","2026-08-13","0c76b768-c268-4622-8be7-8cedae095264","13:03","16:41","return_from_college","13","1"
"ac13c8ae-3f73-4440-bc4f-791d0d7630f4","dbffce9e-93ca-460b-a2e6-fec327ae8a6e","swargate-vit","570167fe-7324-46a2-9cf4-fbea6048e8be","6c30c56b-74ce-4c24-a819-98b9ab6387f5","City Pride BRTS","18.4845","73.8583","VIT College","18.4635","73.8682","2026-08-14T03:43:00.000Z","1","0","scooty","false","20","","COMPLETED","2026-08-14","9c5ebbe6-b7d2-4488-a120-3f9b526fb9ba","09:43","13:09","travel_to_college","5","12"
"2b9eb664-e252-4eb4-aaf1-0330d9b229fb","20bdc7ae-7082-421e-b675-6c4002d0295b","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","876d2e4d-fad4-4ee2-916c-e5ad147030cf","VIT College","18.4635","73.8682","Katraj Dairy BRTS","18.4508","73.8569","2026-08-17T07:29:00.000Z","1","1","bike","true","11","Please arrive five minutes early","COMPLETED","2026-08-17","6bcb26f8-6860-4f1c-b21b-12018362dec3","09:14","12:44","return_from_college","13","2"
"6373477b-6351-4807-9c1f-290fbf1561ef","a4e13249-216e-49cd-8abf-6f5bd9c3fe4c","swargate-vit","0095597e-ebd1-4f83-a6c0-a8e94be6a92b","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Laxmi Narayan Theatre","18.4965","73.8584","VIT College","18.4635","73.8682","2026-08-17T06:06:00.000Z","3","2","car","false","80","Pickup near the hub","COMPLETED","2026-08-17","cd64b72a-e134-456e-bce1-e2abac4a9575","12:06","15:08","travel_to_college","3","12"
"e4faf1af-7b41-4c8f-bb4e-2647ba612763","1137a11d-2e66-45ed-b840-8d12e6722bfa","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","1bc21bdf-5bcc-4dd4-8140-eac24ae23b69","VIT College","18.4635","73.8682","Kashinath Patil Nagar Stop","18.4745","73.8631","2026-08-17T11:33:00.000Z","1","1","scooty","true","0","Please arrive five minutes early","CANCELLED","2026-08-17","458d1be9-10f5-4253-95f0-6402c8eb4ef5","12:56","16:48","return_from_college","13","10"
"5cef133f-2e32-48e4-a7eb-2811979c2847","d3b6bef4-14dc-43ee-b1ea-5df640bff3ea","swargate-vit","a80964b4-72f5-43de-ad1a-bdcb9fca796e","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Lower Indira Nagar Stop","18.4718","73.8618","VIT College","18.4635","73.8682","2026-08-19T02:18:00.000Z","1","1","bike","true","21","Please arrive five minutes early","COMPLETED","2026-08-19","cb06865f-fb5b-4f7c-bdb0-79ccba1baa87","08:18","11:37","travel_to_college","8","12"
"76179ba1-30e0-477b-ae29-d600f715e9ee","a78892d9-93b0-4a78-9a2f-2fad3db5becb","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","3221d156-13e7-4834-84ce-848f49b87be2","VIT College","18.4635","73.8682","Bibwewadi Bus Stop","18.4792","73.8615","2026-08-19T08:57:00.000Z","1","0","scooty","true","20","Pickup near the hub","COMPLETED","2026-08-19","ad2f95be-f361-46a9-bfca-0e519024556c","10:38","14:12","return_from_college","13","8"
